"","CheckoutYear","CheckoutMonth","MaterialType","Checkouts","Title","YrMon","date_full"
"126",2005,4,"BOOK",2,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Apr 2005,2005-04-01
"127",2005,5,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",May 2005,2005-05-01
"128",2005,5,"BOOK",8,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",May 2005,2005-05-01
"129",2005,6,"BOOK",9,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jun 2005,2005-06-01
"130",2005,7,"BOOK",9,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jul 2005,2005-07-01
"131",2005,8,"BOOK",10,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Aug 2005,2005-08-01
"132",2005,8,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Aug 2005,2005-08-01
"133",2005,9,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Sep 2005,2005-09-01
"134",2005,9,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Sep 2005,2005-09-01
"135",2005,10,"BOOK",19,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Oct 2005,2005-10-01
"136",2005,11,"BOOK",15,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Nov 2005,2005-11-01
"137",2005,12,"BOOK",12,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Dec 2005,2005-12-01
"138",2006,1,"BOOK",17,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jan 2006,2006-01-01
