UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2011,2,12,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2011,2,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2011,3,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2011,3,15,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2011,3,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2011,4,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2011,4,11,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2011,4,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2011,5,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2011,5,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2011,5,17,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2011,6,4,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2011,6,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
