UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,SOUNDDISC,2014,5,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2014,5,5,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,EBOOK,2014,5,57,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2014,6,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2014,6,21,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2014,6,56,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,VIDEODISC,2014,6,260,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2014,6,5,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2014,6,20,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2014,6,8,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,VIDEODISC,2014,7,253,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,EBOOK,2014,7,63,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2014,7,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,SOUNDDISC,2014,7,9,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,BOOK,2014,7,12,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2014,7,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2014,7,27,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2014,8,49,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2014,8,23,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2014,8,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2014,8,12,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,VIDEODISC,2014,8,198,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2014,8,8,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2014,8,2,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,BOOK,2014,9,8,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2014,9,16,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2014,9,47,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2014,9,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,VIDEODISC,2014,9,158,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2014,9,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2014,9,4,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,BOOK,2014,10,11,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,VIDEODISC,2014,10,170,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2014,10,8,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,EBOOK,2014,10,50,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2014,10,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2014,10,24,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2014,10,4,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,SOUNDDISC,2014,11,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2014,11,7,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2014,11,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2014,11,20,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2014,11,53,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,VIDEODISC,2014,11,143,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2014,11,3,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2014,12,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,BOOK,2014,12,3,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2014,12,6,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,SOUNDDISC,2014,12,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,VIDEODISC,2014,12,142,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,EBOOK,2014,12,56,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2014,12,23,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,VIDEODISC,2015,1,123,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,EBOOK,2015,1,40,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2015,1,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2015,1,26,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2015,1,3,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2015,1,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,BOOK,2015,1,8,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2015,2,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2015,2,2,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,VIDEODISC,2015,2,120,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2015,2,27,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
