CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2017,2,EBOOK,1,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
2017,2,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2017,3,EBOOK,6,"The Holy Bible: Old and New Testaments, King James Version"
2017,3,BOOK,8,Holy Bible : New Living Translation.
2017,3,BOOK,1,"Fu mu yu hai zi de gou tong sheng jing = Parents and child's communicating holy bible / Hao Tian, Zhang Huiping, bian zhu."
2017,3,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2017,3,EBOOK,1,"The Holy Bible: Douay-Rheims Version, Challoner Revision, The Old and New Testaments"
2005,4,BOOK,1,"Holy Bible : the new King James version, containing the Old and New Testaments."
2005,4,BOOK,1,Holy Bible NIrV New International Readers Version
2005,4,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2005,4,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2005,4,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2005,4,BOOK,1,Holy Bible containing the Old and New Testaments translated out of the original tounges and with the former translations diligently compared and revised Authorized King James Version with all proper names divided into syllables accented
2005,5,BOOK,1,"The Holy Bible, containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared & revised : King James version."
2005,5,BOOK,1,Holy Bible Catholic reference edition New Living Translation Catholic
2005,5,BOOK,1,Holy Bible containing the Old and New Testaments the text carefully printed from the most correct copies of the present authorized translation including the marginal readings and parallel texts with a commentary and critical notes designed
2005,5,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2005,5,BOOK,3,Holy Bible NIrV New International Readers Version
2005,5,BOOK,1,Holy Bible New international version containing the Old Testament and the New Testament
2005,6,BOOK,2,Queen Janes version the Holy Bible for adults only the complete and uncensored translation for a new millenium containing the Old and New Testaments and something to offend everyone
2005,6,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2005,6,BOOK,3,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2005,6,BOOK,1,"Holy Bible : the new King James version, containing the Old and New Testaments."
2005,6,BOOK,1,"The Holy Bible, containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared & revised : King James version."
2005,6,BOOK,1,Holy Bible New international version containing the Old Testament and the New Testament
2005,6,BOOK,3,Holy Bible NIrV New International Readers Version
2005,7,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2005,7,BOOK,1,Holy Bible containing the Old and New Testaments New Revised Standard Version
2005,7,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2005,8,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2005,8,BOOK,1,Holy Bible New international version containing the Old Testament and the New Testament
2005,8,BOOK,2,"Holy Bible : the new King James version, containing the Old and New Testaments."
2005,8,BOOK,1,bible according to Einstein a scientific complement to the Holy Bible for the third millennium
2005,8,BOOK,1,Holy Bible NIrV New International Readers Version
2005,9,BOOK,1,Holy Bible the 21st Century King James Version containing the Old Testament and the New Testament
2005,9,BOOK,1,"Holy Bible : the new King James version, containing the Old and New Testaments."
2005,9,BOOK,1,Holy Bible Catholic reference edition New Living Translation Catholic
2005,9,BOOK,6,Holy Bible NIrV New International Readers Version
2005,9,BOOK,1,Holy Bible New international version containing the Old Testament and the New Testament
