CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2008,2,AUDIOBOOK,2,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,2,BOOK,88,In defense of food : an eater's manifesto / Michael Pollan.
2008,3,AUDIOBOOK,2,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,3,BOOK,146,In defense of food : an eater's manifesto / Michael Pollan.
2008,4,BOOK,15,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,4,BOOK,153,In defense of food : an eater's manifesto / Michael Pollan.
2008,4,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,5,BOOK,21,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,5,BOOK,160,In defense of food : an eater's manifesto / Michael Pollan.
2008,5,AUDIOBOOK,3,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,6,BOOK,137,In defense of food : an eater's manifesto / Michael Pollan.
2008,6,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,6,BOOK,21,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,7,BOOK,22,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,7,AUDIOBOOK,3,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,7,BOOK,153,In defense of food : an eater's manifesto / Michael Pollan.
2008,8,BOOK,19,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,8,BOOK,160,In defense of food : an eater's manifesto / Michael Pollan.
2008,8,AUDIOBOOK,3,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,9,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,9,BOOK,144,In defense of food : an eater's manifesto / Michael Pollan.
2008,9,BOOK,25,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,10,BOOK,145,In defense of food : an eater's manifesto / Michael Pollan.
2008,10,BOOK,14,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,10,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,11,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,11,BOOK,20,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,11,BOOK,131,In defense of food : an eater's manifesto / Michael Pollan.
2008,12,BOOK,19,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,12,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2008,12,EBOOK,1,In Defense of Food: An Eater's Manifesto
2008,12,BOOK,106,In defense of food : an eater's manifesto / Michael Pollan.
2009,1,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,1,BOOK,25,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,1,BOOK,119,In defense of food : an eater's manifesto / Michael Pollan.
2009,2,BOOK,113,In defense of food : an eater's manifesto / Michael Pollan.
2009,2,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,2,EBOOK,1,In Defense of Food: An Eater's Manifesto
2009,2,BOOK,21,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,3,BOOK,97,In defense of food : an eater's manifesto / Michael Pollan.
2009,3,BOOK,21,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,3,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,4,BOOK,23,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,4,EBOOK,2,In Defense of Food: An Eater's Manifesto
2009,4,BOOK,95,In defense of food : an eater's manifesto / Michael Pollan.
2009,4,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,5,BOOK,105,In defense of food : an eater's manifesto / Michael Pollan.
2009,5,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,5,EBOOK,1,In Defense of Food: An Eater's Manifesto
2009,5,BOOK,23,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,6,BOOK,20,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,6,BOOK,102,In defense of food : an eater's manifesto / Michael Pollan.
2009,6,EBOOK,1,In Defense of Food: An Eater's Manifesto
2009,6,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,7,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,7,BOOK,31,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,7,BOOK,97,In defense of food : an eater's manifesto / Michael Pollan.
2009,8,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,8,BOOK,110,In defense of food : an eater's manifesto / Michael Pollan.
2009,8,BOOK,23,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,9,BOOK,65,In defense of food : an eater's manifesto / Michael Pollan.
2009,9,BOOK,11,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,9,EBOOK,1,In Defense of Food: An Eater's Manifesto
2009,9,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,10,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,10,BOOK,20,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,10,EBOOK,1,In Defense of Food: An Eater's Manifesto
2009,10,BOOK,69,In defense of food : an eater's manifesto / Michael Pollan.
2009,11,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,11,EBOOK,1,In Defense of Food: An Eater's Manifesto
2009,11,BOOK,15,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,11,BOOK,55,In defense of food : an eater's manifesto / Michael Pollan.
2009,12,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2009,12,BOOK,12,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2009,12,EBOOK,1,In Defense of Food: An Eater's Manifesto
2009,12,BOOK,43,In defense of food : an eater's manifesto / Michael Pollan.
2010,1,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,1,BOOK,54,In defense of food : an eater's manifesto / Michael Pollan.
2010,1,EBOOK,1,In Defense of Food: An Eater's Manifesto
2010,1,BOOK,19,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,2,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,2,BOOK,51,In defense of food : an eater's manifesto / Michael Pollan.
2010,2,EBOOK,1,In Defense of Food: An Eater's Manifesto
2010,2,BOOK,18,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,3,BOOK,63,In defense of food : an eater's manifesto / Michael Pollan.
2010,3,EBOOK,1,In Defense of Food: An Eater's Manifesto
2010,3,BOOK,24,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
